SourceID,SourceEdition,SourceItemKey,NoteID,Decision,Status
rj_start1,klose-current,grade4-lower-u05-o001|cow,KV000546,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o002|horse,KV000545,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o003|sheep,KV000548,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o004|pig,KV000547,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o005|chicken,KV000081,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o006|tomato,KV000238,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o007|bee,KV000549,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o008|mouse,KV000882,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u05-o009|carrot,KV000883,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u05-o010|potato,KV000237,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u05-o011|green bean,KV000884,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u05-o012|can,KV000885,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-lower-u05-o013|a box of,KV000886,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o001|feed,KV000887,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o002|pass,KV000888,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o003|pick,KV000889,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o004|milk,KV000890,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-lower-u06-o005|knife,KV000397,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u06-o006|fork,KV000891,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o007|chopstick,KV000672,reuse-morphology,confirmed
rj_start1,klose-current,grade4-lower-u06-o008|waste,KV000892,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o009|food,KV000893,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o010|delicious,KV000281,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u06-o011|clear the table,KV000894,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o012|set the table,KV000895,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o013|bowl,KV000896,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o014|spoon,KV000897,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o015|supermarket,KV000130,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u06-o016|herself,KV000898,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u06-o017|week,KV000263,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u06-o018|salad,KV000899,new-learning-unit,confirmed
