NoteID,SourceID,SourceEdition,SourceBook,Grade,Semester,Unit,SourceWord,SourceFile,SourceRow,Page
KV000082,rj_start1,,3年级上,3,上,,egg,人教版一年级起点三年级上.xlsx,52,
KV000083,rj_start1,,1年级下,1,下,,hungry,人教版一年级起点一年级下.xlsx,31,
KV000084,rj_start1,,1年级下,1,下,,want,人教版一年级起点一年级下.xlsx,32,
KV000084,rj_start1,klose-current,4年级下,4,下,3,want,rj_start1-grade4-klose-actual.csv,167,33
KV000085,rj_start1,,1年级下,1,下,,and,人教版一年级起点一年级下.xlsx,33,
KV000086,rj_start1,,1年级下,1,下,,juice,人教版一年级起点一年级下.xlsx,34,
KV000087,rj_start1,,1年级下,1,下,,tea,人教版一年级起点一年级下.xlsx,35,
KV000088,rj_start1,,1年级下,1,下,,milk,人教版一年级起点一年级下.xlsx,36,
KV000089,rj_start1,,1年级下,1,下,,water,人教版一年级起点一年级下.xlsx,37,
KV000090,rj_start1,,1年级下,1,下,,thirsty,人教版一年级起点一年级下.xlsx,38,
KV000091,rj_start1,,1年级下,1,下,,thanks,人教版一年级起点一年级下.xlsx,39,
KV000092,rj_start1,,1年级下,1,下,,shirt,人教版一年级起点一年级下.xlsx,40,
KV000092,rj_start1,,3年级上,3,上,,shirt,人教版一年级起点三年级上.xlsx,89,
KV000092,rj_start1,klose-current,4年级上,4,上,6,shirt,rj_start1-grade4-klose-actual.csv,96,64
KV000093,rj_start1,,1年级下,1,下,,T-shirt,人教版一年级起点一年级下.xlsx,41,
KV000093,rj_start1,,3年级上,3,上,,T-shirt,人教版一年级起点三年级上.xlsx,84,
KV000093,rj_start1,klose-current,4年级上,4,上,6,T-shirt,rj_start1-grade4-klose-actual.csv,107,69
KV000094,rj_start1,,1年级下,1,下,,skirt,人教版一年级起点一年级下.xlsx,42,
KV000094,rj_start1,,3年级上,3,上,,skirt,人教版一年级起点三年级上.xlsx,87,
KV000094,rj_start1,klose-current,4年级下,4,下,4,skirt,rj_start1-grade4-klose-actual.csv,177,41
KV000095,rj_start1,,1年级下,1,下,,dress,人教版一年级起点一年级下.xlsx,43,
KV000095,rj_start1,,3年级上,3,上,,dress,人教版一年级起点三年级上.xlsx,88,
KV000095,rj_start1,klose-current,4年级上,4,上,6,dress,rj_start1-grade4-klose-actual.csv,98,65
