LearnerProfile,LearnerLevel,NoteID,CurrentStatus,CurrentLearningOrder,ProposedStatus,ProposedLearningTag,ProposedLearningOrder,AdmissionAction,PriorityDistinctSourceIDs,PrioritySourceOccurrences,PriorityTokenCount,OrderingPolicy,Reason
klose,4,KV002389,,,allowed,learning::klose::third-party-primary,001527,add-allowed,2,3,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002390,,,allowed,learning::klose::third-party-primary,001279,add-allowed,4,4,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002391,,,allowed,learning::klose::third-party-primary,002296,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002392,,,allowed,learning::klose::third-party-primary,002297,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002393,,,allowed,learning::klose::third-party-primary,002298,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002394,,,allowed,learning::klose::third-party-primary,002299,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002395,,,allowed,learning::klose::third-party-primary,001667,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002396,,,allowed,learning::klose::third-party-primary,001668,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002397,,,allowed,learning::klose::third-party-primary,001669,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002398,,,allowed,learning::klose::third-party-primary,001670,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002399,,,allowed,learning::klose::third-party-primary,002300,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002400,,,allowed,learning::klose::third-party-primary,001671,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002401,,,allowed,learning::klose::third-party-primary,001485,add-allowed,3,3,2,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002402,,,allowed,learning::klose::third-party-primary,001672,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002403,,,allowed,learning::klose::third-party-primary,001409,add-allowed,3,3,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002404,,,allowed,learning::klose::third-party-primary,001673,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002405,,,allowed,learning::klose::third-party-primary,002301,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002406,,,allowed,learning::klose::third-party-primary,002302,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002407,,,allowed,learning::klose::third-party-primary,000994,add-allowed,8,8,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002408,,,allowed,learning::klose::third-party-primary,001103,add-allowed,6,6,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002409,,,allowed,learning::klose::third-party-primary,002303,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002410,,,allowed,learning::klose::third-party-primary,001410,add-allowed,3,3,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002411,,,allowed,learning::klose::third-party-primary,002304,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002412,,,allowed,learning::klose::third-party-primary,002305,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002413,,,allowed,learning::klose::third-party-primary,002306,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002414,,,allowed,learning::klose::third-party-primary,002307,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002415,,,allowed,learning::klose::third-party-primary,001674,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002416,,,allowed,learning::klose::third-party-primary,002308,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002417,,,allowed,learning::klose::third-party-primary,002674,add-allowed,1,1,2,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002418,,,allowed,learning::klose::third-party-primary,001675,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002419,,,allowed,learning::klose::third-party-primary,000996,add-allowed,8,8,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002420,,,allowed,learning::klose::third-party-primary,001192,add-allowed,5,5,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002421,,,allowed,learning::klose::third-party-primary,000866,add-allowed,13,16,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002422,,,allowed,learning::klose::third-party-primary,000851,add-allowed,14,16,2,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002423,,,allowed,learning::klose::third-party-primary,002827,add-allowed,1,1,3,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002424,,,allowed,learning::klose::third-party-primary,001280,add-allowed,4,4,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002425,,,allowed,learning::klose::third-party-primary,002309,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002426,,,allowed,learning::klose::third-party-primary,002310,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
