NoteID,Word,FirstGrade,ExampleSentence,Reason
KV001040,anything,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001041,exhibition,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001042,have a look,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001043,sushi,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001044,Canadian,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001045,Spanish,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001046,climb,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001047,kilometre,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001048,gingerbread house,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001049,thousand,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001050,clay,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001051,see,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001052,village,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001053,eat,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001054,dry,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001055,take,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001056,view,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001057,inspiring,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001058,pumpkin,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001059,New Zealand,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001060,Hong Kong-Zhuhai-Macao Bridge,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001061,Paris,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001062,Eiffel Tower,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001063,Terracotta Warriors,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001064,Jinggangshan Revolution Museum,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001065,the Red Army,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001066,paste,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001067,dress,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001068,gala,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001069,count down,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001070,marathon,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001071,as,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001072,cheer,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001073,book fair,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001074,make,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001075,sing,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001076,yesterday,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001077,notice,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001078,wake,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001079,later,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001080,judge,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001081,begin,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001082,winner,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001083,ever,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001084,exciting,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001085,cold,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001086,runny nose,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001087,fever,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001088,cough,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001089,discuss,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001090,diet,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001091,stay up,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001092,another,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001093,email,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001094,unhappy,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001095,may,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001096,add,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001097,video,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001098,pocket money,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001099,goods,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001100,service,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001101,haircut,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001102,microscope,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001103,lucky,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001104,half,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001105,save up,6,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
