MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,StageAClass,SeedMatchKeys,SeedDisplayForms,SeedDefinitions,NeedsSenseReview
boy,boy,n. 男孩;男人,2年级上,1,exact-surface-overlap,boy,boy,n. 男孩;男人,yes
bread,bread,n. 面包;生计 vt. 在...上洒面包屑,3年级上,1,exact-surface-overlap,bread,bread,n. 面包;生计 vt. 在...上洒面包屑,yes
bring,bring,vt. 带来;促使;引起;使某人处于某种情况或境地,6年级上,1,exact-surface-overlap,bring,bring,vt. 带来;促使;引起;使某人处于某种情况或境地,yes
brother,brother,n. 兄弟;同事;战友 int. 我的老兄!,2年级上|3年级下,2,exact-surface-overlap,brother,brother,n. 兄弟;同事;战友 int. 我的老兄!,yes
busy,busy,adj. 忙碌的;热闹的;正被占用的 vt. 使忙于,4年级下,1,exact-surface-overlap,busy,busy,adj. 忙碌的;热闹的;正被占用的 vt. 使忙于,yes
but,but,"conj. 但是;而是;然而 adv. 仅仅,只 prep. 除...以外",5年级上,1,exact-surface-overlap,but,but,"conj. 但是;而是;然而 adv. 仅仅,只 prep. 除...以外",yes
buy,buy,"n. 购买,买卖;所购的物品 vi. 买,采购 vt. 购买;获得;贿赂",3年级上,1,exact-surface-overlap,buy,buy,"n. 购买,买卖;所购的物品 vi. 买,采购 vt. 购买;获得;贿赂",yes
cake,cake,n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,3年级上,1,exact-surface-overlap,cake,cake,n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,yes
call,call,n. 电话;呼叫;要求;访问 vi. 呼叫;拜访;叫牌 vt. 呼叫;称呼;召集,5年级上,1,exact-surface-overlap,call,call,n. 电话;呼叫;要求;访问 vi. 呼叫;拜访;叫牌 vt. 呼叫;称呼;召集,yes
can,can,aux. 能; 能够; 可以; 可能 n. 罐头; (用金属或塑料制作的)容器; (马口铁或其他金属制作的)食品罐头 vt. 将...装入密封罐中保存,1年级下,1,exact-surface-overlap,can,can,aux. 能; 能够; 可以; 可能 n. 罐头; (用金属或塑料制作的)容器; (马口铁或其他金属制作的)食品罐头 vt. 将...装入密封罐中保存,yes
canada,Canada,n. 加拿大(北美洲国家),4年级下,1,exact-surface-overlap,canada,Canada,n. 加拿大(北美洲国家),yes
cap,cap,n. 盖;帽子 vt. 覆盖;胜过;给...戴帽;加盖于 vi. 脱帽致意,3年级上,1,exact-surface-overlap,cap,cap,n. 盖;帽子 vt. 覆盖;胜过;给...戴帽;加盖于 vi. 脱帽致意,yes
car,car,n. 汽车;车厢,1年级下,1,exact-surface-overlap,car,car,n. 汽车;车厢,yes
card,card,n. 卡片;纸牌;明信片 vt. 记于卡片上,2年级上,1,exact-surface-overlap,card,card,n. 卡片;纸牌;明信片 vt. 记于卡片上,yes
cat,cat,"n. 猫,猫科动物",1年级上|3年级上,2,exact-surface-overlap,cat,cat,"n. 猫,猫科动物",yes
chair,chair,n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,1年级下|3年级下,2,exact-surface-overlap,chair,chair,n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,yes
chicken,chicken,"n. 鸡肉;小鸡;胆小鬼,懦夫 adj. 鸡肉的;胆怯的;幼小的",1年级下|3年级上,3,exact-surface-overlap,chicken,chicken,"n. 鸡肉;小鸡;胆小鬼,懦夫 adj. 鸡肉的;胆怯的;幼小的",yes
children,children,n. 孩子们(child的复数),3年级下,1,exact-surface-overlap,children,children,n. 孩子们(child的复数),yes
