SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
niujin_shanghai_start1|g1-upper|r037|pizza,niujin_shanghai_start1,1年级上,1,上,37,pizza,pizza,[ˈpiːtsə],[ˈpiːtsə],n. 比萨饼(一种涂有乳酪核番茄酱的意大利式有馅烘饼),牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r038|cake,niujin_shanghai_start1,1年级上,1,上,38,cake,cake,[keɪk],[keɪk],n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r039|pie,niujin_shanghai_start1,1年级上,1,上,39,pie,pie,[paɪ],[paɪ],n. 馅饼;饼图;爱说话的人 vt. 使杂乱,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r040|chick,niujin_shanghai_start1,1年级上,1,上,40,chick,chick,[tʃɪk],[tʃɪk],n. 小鸡;小鸟;少妇 adj. 胆小的;懦弱的,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r041|duck,niujin_shanghai_start1,1年级上,1,上,41,duck,duck,[dʌk],[dʌk],n. 鸭子;鸭肉;(英)宝贝儿;零分 vt. 躲避;猛按...入水 vi. 闪避;没入水中,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r042|cow,niujin_shanghai_start1,1年级上,1,上,42,cow,cow,[kaʊ],[kaʊ],"n. 奶牛,母牛;母兽 vt. 威胁,恐吓",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r043|pig,niujin_shanghai_start1,1年级上,1,上,43,pig,pig,[pɪɡ],[pɪɡ],"n. 猪;猪肉 vi. 生小猪;像猪一样过活 n. 警察(俚语,带有攻击性)",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r044|bear,niujin_shanghai_start1,1年级上,1,上,44,bear,bear,[beə(r)],[ber],"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r045|tiger,niujin_shanghai_start1,1年级上,1,上,45,tiger,tiger,[ˈtaɪɡə(r)],[ˈtaɪɡər],n. 老虎;凶暴的人,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r046|monkey,niujin_shanghai_start1,1年级上,1,上,46,monkey,monkey,[ˈmʌŋki],[ˈmʌŋki],n. 猴子;顽童 vi. 胡闹;捣蛋 vt. 嘲弄,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r047|panda,niujin_shanghai_start1,1年级上,1,上,47,panda,panda,[ˈpændə],[ˈpændə],n. 熊猫;猫熊,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r048|red,niujin_shanghai_start1,1年级上,1,上,48,red,red,[red],[red],"n. 红色,红颜料;赤字 adj. 红色的;红肿的,充血的",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r049|blue,niujin_shanghai_start1,1年级上,1,上,49,blue,blue,[bluː],[bluː],"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r050|yellow,niujin_shanghai_start1,1年级上,1,上,50,yellow,yellow,[ˈjeləʊ],[ˈjeloʊ],n. 黄色;黄种人;黄色颜料 adj. 黄色的;黄皮肤的 vt. 使变黄或发黄 vi. 变黄或发黄,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r051|green,niujin_shanghai_start1,1年级上,1,上,51,green,green,[ɡriːn],[ɡriːn],n. 绿色;青春 adj. 绿色的;青春的 vt. 使...变绿色 vi. 变绿色,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-lower|r002|frog,niujin_shanghai_start1,1年级下,1,下,2,frog,frog,[frɒɡ],[frɑːɡ],n. 青蛙;[铁路] 辙叉;饰扣 vi. 捕蛙,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r003|rabbit,niujin_shanghai_start1,1年级下,1,下,3,rabbit,rabbit,[ˈræbɪt],[ˈræbɪt],"n. 兔子,野兔 vt. 让...见鬼去吧 vi. 猎兔",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r004|bee,niujin_shanghai_start1,1年级下,1,下,4,bee,bee,[biː],[biː],"n. 蜜蜂,蜂;勤劳的人",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r005|bird,niujin_shanghai_start1,1年级下,1,下,5,bird,bird,[bɜːd],[bɜːrd],n. 鸟;家伙;羽毛球 vt. 向...喝倒彩;起哄 vi. 猎鸟;观察研究野鸟,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r006|sheep,niujin_shanghai_start1,1年级下,1,下,6,sheep,sheep,[ʃiːp],[ʃiːp],"n. 羊,绵羊;胆小鬼",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r007|hen,niujin_shanghai_start1,1年级下,1,下,7,hen,hen,[hen],[hen],n. 母鸡;女人;雌禽,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r008|dog,niujin_shanghai_start1,1年级下,1,下,8,dog,dog,[dɒɡ],[dɔːɡ],n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r009|cat,niujin_shanghai_start1,1年级下,1,下,9,cat,cat,[kæt],[kæt],"n. 猫,猫科动物",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r010|rice,niujin_shanghai_start1,1年级下,1,下,10,rice,rice,[raɪs],[raɪs],n. 稻;米饭 vt. 把...捣成米糊状,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r011|soup,niujin_shanghai_start1,1年级下,1,下,11,soup,soup,[suːp],[suːp],"n. 汤,羹;马力 vt. 加速;增加马力",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r012|egg,niujin_shanghai_start1,1年级下,1,下,12,egg,egg,[eɡ],[eɡ],n. 蛋;卵子;家伙;鸡蛋 vt. 煽动;怂恿,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r013|noodles,niujin_shanghai_start1,1年级下,1,下,13,noodles,noodles,[ˈnuːd(ə)lz],[ˈnuːd(ə)lz],"n. 面条,挂面(noodle的复数形式)",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r014|ball,niujin_shanghai_start1,1年级下,1,下,14,ball,ball,[bɔːl],[bɔːl],n. 球;舞会 vt. 捏成球形 vi. 成团块,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r015|doll,niujin_shanghai_start1,1年级下,1,下,15,doll,doll,[dɒl],[dɑːl],n. 洋娃娃;玩偶;无头脑的美丽女人 vt. 把...打扮得花枝招展,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r016|bicycle,niujin_shanghai_start1,1年级下,1,下,16,bicycle,bicycle,[ˈbaɪsɪk(ə)l],[ˈbaɪsɪkl],n. 自行车 vt. 骑自行车运送 vi. 骑脚踏车,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r017|kite,niujin_shanghai_start1,1年级下,1,下,17,kite,kite,[kaɪt],[kaɪt],n. 风筝 vi. 使用空头支票;像风筝一样飞;轻快地移动 vt. 骗钱;涂改(支票),牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r018|jelly,niujin_shanghai_start1,1年级下,1,下,18,jelly,jelly,[ˈdʒeli],[ˈdʒeli],n. 果冻;胶状物 vi. 成胶状 vt. 使结冻,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r019|ice cream,niujin_shanghai_start1,1年级下,1,下,19,ice cream,ice cream,[ˈaɪs kriːm],[ˈaɪs kriːm],n. 【食】冰淇淋,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r020|sweet,niujin_shanghai_start1,1年级下,1,下,20,sweet,sweet,[swiːt],[swiːt],n. 糖果;乐趣;芳香;宝贝 adj. 甜的;悦耳的;芳香的;亲切的 (俚)酷毙了,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r021|biscuit,niujin_shanghai_start1,1年级下,1,下,21,biscuit,biscuit,[ˈbɪskɪt],[ˈbɪskɪt],"n. 小点心,饼干",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r022|cola,niujin_shanghai_start1,1年级下,1,下,22,cola,cola,[ˈkəʊlə],[ˈkoʊlə],n. 可乐;可乐树(其子含咖啡碱),牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r023|juice,niujin_shanghai_start1,1年级下,1,下,23,juice,juice,[dʒuːs],[dʒuːs],"n. (水果)汁,液;果汁",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r024|milk,niujin_shanghai_start1,1年级下,1,下,24,milk,milk,[mɪlk],[mɪlk],n. 牛奶;乳状物 vt. 榨取;挤...的奶 vi. 挤奶,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r025|water,niujin_shanghai_start1,1年级下,1,下,25,water,water,[ˈwɔːtə(r)],[ˈwɔːtər],"n. 水;海水;雨水;海域,大片的水 vt. 使湿;供以水;给...浇水 vi. 加水;流泪;流口水",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r026|warm,niujin_shanghai_start1,1年级下,1,下,26,warm,warm,[wɔːm],[wɔːrm],n. 取暖;加热 adj. 温暖的;热情的 vt. 使...兴奋;使...温暖;使...感兴趣 vi. 同情;激动;变温暖,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r027|hot,niujin_shanghai_start1,1年级下,1,下,27,hot,hot,[hɒt],[hɑːt],adj. 热的;辣的;热情的;激动的;紧迫的 vt. 增加;给...加温 adv. 热;紧迫地 vi. 变热,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r028|spring,niujin_shanghai_start1,1年级下,1,下,28,spring,spring,[sprɪŋ],[sprɪŋ],n. 春天;弹簧;泉水;活力;跳跃 adj. 春天的 vt. 使跳起;使爆炸;突然提出;使弹开 vi. 生长;涌出;跃出;裂开,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r029|summer,niujin_shanghai_start1,1年级下,1,下,29,summer,summer,[ˈsʌmə(r)],[ˈsʌmər],n. 夏季;全盛时期 adj. 夏季的 vi. 避暑;过夏天,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r030|sunny,niujin_shanghai_start1,1年级下,1,下,30,sunny,sunny,[ˈsʌni],[ˈsʌni],"adj. 阳光充足的,和煦的;快活的;性情开朗的",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r031|cloudy,niujin_shanghai_start1,1年级下,1,下,31,cloudy,cloudy,[ˈklaʊdi],[ˈklaʊdi],adj. 多云的;阴天的;愁容满面的,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r032|rainy,niujin_shanghai_start1,1年级下,1,下,32,rainy,rainy,[ˈreɪni],[ˈreɪni],adj. 下雨的;多雨的,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r033|windy,niujin_shanghai_start1,1年级下,1,下,33,windy,windy,[ˈwɪndi],[ˈwɪndi],"adj. 多风的,有风的;腹胀的;吹牛的",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r034|t-shirt,niujin_shanghai_start1,1年级下,1,下,34,T-shirt,t-shirt,[ˈtiː ʃɜːt],[ˈtiː ʃɜːrt],n. 短袖圆领汗衫,牛津上海版一年级下册.xlsx
