NoteID,CanonicalWord,SenseLabel,British,American,MatchBasis,EvidenceSources,Resolution
KV000935,enough,足够的；充足的；充分的,[ɪˈnʌf],[ɪˈnʌf],enough,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangdong_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000936,if,如果；假若；倘若,[ɪf],[ɪf],if,staging:guangzhou_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging,auto-exact-unanimous
KV000937,show,（电视或广播）节目,[ʃəʊ],[ʃoʊ],show,staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000938,then,那么；因此；既然如此,[ðen],[ðen],then,staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000939,rest,休息；放松,[rest],[rest],rest,staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000941,check,查看；查明,[tʃek],[tʃek],check,staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:jiaoke_eec_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000942,brush,（用刷子）刷净；刷亮；刷平顺,[brʌʃ],[brʌʃ],brush,staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000943,tooth,牙；齿,[tuːθ],[tuːθ],tooth,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:hujiao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000944,twice,两次；两遍,[twaɪs],[twaɪs],twice,staging:beishida_start1_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:niujin_shanghai_start1_staging,auto-exact-unanimous
KV000945,hour,小时,[ˈaʊə(r)],[ˈaʊər],hour,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging,auto-exact-unanimous
KV000946,beef,牛肉,[biːf],[biːf],beef,staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000947,little,少许；一点,[ˈlɪt(ə)l],[ˈlɪtl],little,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000948,Mrs,（用于女子的姓氏或姓名前）太太，夫人,[ˈmɪsɪz],[ˈmɪsɪz],mrs,staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000949,coconut,椰子,[ˈkəʊkənʌt],[ˈkoʊkənʌt],coconut,staging:waiyan_start1_staging,auto-exact-unanimous
KV000950,seed,种子；籽,[siːd],[siːd],seed,staging:beishida_start1_staging|staging:hujiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000951,pull,拔出；抽出,[pʊl],[pʊl],pull,staging:cambridge_join_start3_staging|staging:renjiao_start3_staging,auto-exact-unanimous
KV000953,root,根；根茎,[ruːt],[ruːt],root,staging:niujin_shanghai_start1_staging,auto-exact-unanimous
KV000954,lotus,莲属植物,[ˈləʊtəs],[ˈloʊtəs],lotus,staging:xiangshao_start3_staging,auto-exact-unanimous
KV000955,world,世界；地球；天下,[wɜːld],[wɜːrld],world,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000956,round,圆形的；环形的；球形的,[raʊnd],[raʊnd],round,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:waiyan_start1_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000957,way,方法；手段；途径；方式,[weɪ],[weɪ],way,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000958,river,河；江,[ˈrɪvə(r)],[ˈrɪvər],river,staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000959,nature,自然界；大自然,[ˈneɪtʃə(r)],[ˈneɪtʃər],nature,staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:renjiao_start3_staging,auto-exact-unanimous
KV000960,waterfall,瀑布,[ˈwɔːtəfɔːl],[ˈwɔːtərfɔːl],waterfall,staging:guangzhou_start3_staging,auto-exact-unanimous
