NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV001511,new-third-party-stable,unreleased,come out,come out,出来；出去,出来；出去,,,British+American,missing,missing,,,[kˈʌm ˈaʊt],[kˈʌm ˈaʊt],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001512,new-third-party-stable,unreleased,come out of,come out of,从……出来；出自,从……出来；出自,,,British+American,missing,missing,,,[kˈʌm ˌaʊtəv],[kˈʌm ˌaʊɾəv],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001515,new-third-party-stable,unreleased,comic book,comic book,漫画书,漫画书,,,British+American,missing,missing,,,[kˈɒmɪk bˈʊk],[kˈɑːmɪk bˈʊk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001520,new-third-party-stable,unreleased,computer lab,computer lab,电脑教室；机房,电脑教室；机房,,,British+American,missing,missing,,,[kəmpjˈuːtə lˈab],[kəmpjˈuːɾɚ lˈæb],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001521,new-third-party-stable,unreleased,computer room,computer room,计算机教室；电脑室,计算机教室；电脑室,,,British+American,missing,missing,,,[kəmpjˈuːtə ɹˈuːm],[kəmpjˈuːɾɚ ɹˈuːm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001522,new-third-party-stable,unreleased,computer studies,computer studies,计算机课程,计算机课程,,,British+American,missing,missing,,,[kəmpjˈuːtə stˈʌdiz],[kəmpjˈuːɾɚ stˈʌdiz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001527,new-third-party-stable,unreleased,cookie,cookie,饼干,饼干,,,British+American,conflicting-evidence,conflicting-evidence,[ˈkʊki],[ˈkʊki],[kˈʊki],[kˈʊki],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV001531,new-third-party-stable,unreleased,corner kick,corner kick,角球,角球,,,British+American,missing,missing,,,[kˈɔːnə kˈɪk],[kˈɔːɹnɚ kˈɪk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001564,new-third-party-stable,unreleased,cycle helmet,cycle helmet,骑行头盔,骑行头盔,,,British+American,missing,missing,,,[sˈaɪkəl hˈɛlmɪt],[sˈaɪkəl hˈɛlmɪt],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001565,new-third-party-stable,unreleased,cycling shoes,cycling shoes,骑行鞋；自行车运动鞋,骑行鞋；自行车运动鞋,,,British+American,missing,missing,,,[sˈaɪklɪŋ ʃˈuːz],[sˈaɪklɪŋ ʃˈuːz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001577,new-third-party-stable,unreleased,decide,decide,决定,决定,,,British+American,conflicting-evidence,conflicting-evidence,[dɪˈsaɪd],[dɪˈsaɪd],[dɪsˈaɪd],[dᵻsˈaɪd],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV001583,new-third-party-stable,unreleased,department store,department store,百货商店；百货公司,百货商店；百货公司,,,British+American,missing,missing,,,[dɪpˈɑːtmənt stˈɔː],[dᵻpˈɑːɹtmənt stˈoːɹ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001602,new-third-party-stable,unreleased,do,do,做；干,做；干,,,British+American,conflicting-evidence,conflicting-evidence,[duː; də; du; dəʊ],[duː; də; du; doʊ],[dˈuː],[dˈuː],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV001603,new-third-party-stable,unreleased,do a survey,do a survey,做调查；进行调查,做调查；进行调查,,,British+American,missing,missing,,,[dˈuː ɐ sˈɜːveɪ],[dˈuː ɐ sˈɜːveɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001604,new-third-party-stable,unreleased,do exercise,do exercise,锻炼；做运动,锻炼；做运动,,,British+American,missing,missing,,,[dˈuː ˈɛksəsˌaɪz],[dˈuː ˈɛksɚsˌaɪz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001605,new-third-party-stable,unreleased,do homework,do homework,做作业,做作业,,,British+American,missing,missing,,,[dˈuː hˈəʊmwɜːk],[dˈuː hˈoʊmwɜːk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001606,new-third-party-stable,unreleased,do jigsaw puzzles,do jigsaw puzzles,拼拼图；做拼图,拼拼图；做拼图,,,British+American,missing,missing,,,[dˈuː dʒˈɪɡsɔː pˈʌzəlz],[dˈuː dʒˈɪɡsɔː pˈʌzəlz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001607,new-third-party-stable,unreleased,do kung fu,do kung fu,练功夫；做中国功夫,练功夫；做中国功夫,,,British+American,missing,missing,,,[dˈuː kˈʌŋ fˈuː],[dˈuː kˈʌŋ fˈuː],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001608,new-third-party-stable,unreleased,dog food,dog food,狗粮,狗粮,,,British+American,missing,missing,,,[dˈɒɡ fˈuːd],[dˈɑːɡ fˈuːd],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
