SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
shaanxi_start3|g3-upper|r041|mom,shaanxi_start3,3年级上,3,上,41,mom,mom,,,n. 妈妈,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r042|afternoon,shaanxi_start3,3年级上,3,上,42,afternoon,afternoon,,,"n. 午后,下午",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r043|mr.,shaanxi_start3,3年级上,3,上,43,Mr.,mr.,,,n. 先生,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r044|evening,shaanxi_start3,3年级上,3,上,44,evening,evening,,,n. 晚上;傍晚;(联欢性的)晚会;后期 adj. 在晚上的;为晚上的;晚上用的 int. 晚上好(等于good evening),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r045|dad,shaanxi_start3,3年级上,3,上,45,dad,dad,,,n. 爸爸;爹爹,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r046|orange,shaanxi_start3,3年级上,3,上,46,orange,orange,,,adj. 橙色的;橘色的 n. 橙;橙色;桔子,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r047|pear,shaanxi_start3,3年级上,3,上,47,pear,pear,,,n. [园艺] 梨树;梨子,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r048|question,shaanxi_start3,3年级上,3,上,48,question,question,,,"n. 问题,疑问;询问;疑问句 vt. 询问;怀疑;审问 vi. 询问;怀疑;审问",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r049|rabbit,shaanxi_start3,3年级上,3,上,49,rabbit,rabbit,,,"n. 兔子,野兔 vt. 让...见鬼去吧 vi. 猎兔",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r050|sun,shaanxi_start3,3年级上,3,上,50,sun,sun,,,n. 太阳 vt. 使晒 vi. 晒太阳,陕西版三年级起点三年级上.xlsx
